scope,spoken_form,action,language_scope,lists_used,source
c:\program files (x86)\microsoft\edge\application\msedge.exe,dev tools, key(ctrl-shift-i),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,elements tab, key(ctrl-shift-c),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,console tab, key(ctrl-shift-j),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,sources tab, key(ctrl-shift-y),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,network tab, key(ctrl-shift-m),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,application tab, key(ctrl-shift-e),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,next panel, key(ctrl-]),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,previous panel, key(ctrl-[),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,toggle dock position, key(ctrl-shift-d),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,close dev tools, key(ctrl-shift-i),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,settings, key(f1),,,development_tools.talon
command,^tabby,key(tab),,,dictation_mixed_modes.talon
command,^enter,key(enter),,,dictation_mixed_modes.talon
command,^command (return | enter)," mode.disable(""dictation"") mode.enable(""command"") sleep(100ms) key(enter)",,,dictation_mixed_modes.talon
command,^backspace,key(backspace),,,dictation_mixed_modes.talon
command,^delete,key(delete),,,dictation_mixed_modes.talon
command,^space,key(space),,,dictation_mixed_modes.talon
command,^go left,key(left),,,dictation_mixed_modes.talon
command,^go right,key(right),,,dictation_mixed_modes.talon
command,^go up,key(up),,,dictation_mixed_modes.talon
command,^go down,key(down),,,dictation_mixed_modes.talon
command,^backspace <user.ordinals_small>,"key(""backspace:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^delete <user.ordinals_small>,"key(""delete:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go left <user.ordinals_small>,"key(""left:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go right <user.ordinals_small>,"key(""right:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go up <user.ordinals_small>,"key(""up:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go down <user.ordinals_small>,"key(""down:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,new paragraph,key(enter),,,dictation_mixed_modes.talon
command,new line,key(enter),,,dictation_mixed_modes.talon
command,fresh line, key(end) key(enter),,,dictation_mixed_modes.talon
command,fresh line above, key(home) key(home) key(enter) key(up),,,dictation_mixed_modes.talon
command,fresh paragraph, key(end) key(enter) key(enter),,,dictation_mixed_modes.talon
command,go end,key(end),,,dictation_mixed_modes.talon
Global,os,windows,,,global_customisations.talon
Global,and hostname,J40L4V3,,,global_customisations.talon
Global,redo,key(ctrl-y),,,global_customisations.talon
Global,undo,key(ctrl-z),,,global_customisations.talon
Global,undo <user.number_signed_small>, key(ctrl-z) repeat(number_signed_small-1),,,global_customisations.talon
Global,backspace,key(backspace),,,global_customisations.talon
Global,backspace <user.number_signed_small>, key(backspace) repeat(number_signed_small-1),,,global_customisations.talon
Global,delete,key(delete),,,global_customisations.talon
Global,delete <user.number_signed_small>, key(delete) repeat(number_signed_small-1),,,global_customisations.talon
Global,maximise [window], key(alt-space) sleep(700ms) key(x),,,global_customisations.talon
Global,restore [window], key(alt-space) sleep(400ms) key(r),,,global_customisations.talon
Global,minimise [window], key(alt-space) sleep(400ms) key(n),,,global_customisations.talon
Global,switch [window], key(alt-tab),,,global_customisations.talon
Global,[windows] switch both, key(super-shift-left) sleep(60ms) key(alt-tab) sleep(60ms) key(super-shift-left),,,global_customisations.talon
Global,window [monitor] switch,key(super-shift-left),,,global_customisations.talon
Global,move [to] top,key(ctrl-home),,,global_customisations.talon
Global,move [to] bottom,key(ctrl-end),,,global_customisations.talon
Global,[focus] system tray,key(super-b),,,global_customisations.talon
Global,focus desktop,key(super-d),,,global_customisations.talon
Global,focus taskbar,key(super-t),,,global_customisations.talon
Global,find again,key(f3),,,global_customisations.talon
Global,begin Upwork tracking,key(ctrl-alt-]),,,global_customisations.talon
Global,(end tracking) | (stop tracking),key(ctrl-alt-[),,,global_customisations.talon
Global,open clipboard,key(super-v),,,global_customisations.talon
Global,windows start <user.text>, key(super) sleep(300ms) insert(text),,,global_customisations.talon
Global,open file manager,key(super-e),,,global_customisations.talon
Global,launch preview," key(super) sleep(900ms) insert(""visual studio 2022 preview"") sleep(900ms) key(enter)",,,global_customisations.talon
Global,launch code," key(super) sleep(900ms) insert(""visual studio code"") sleep(900ms) key(enter)",,,global_customisations.talon
Global,show letters,key(ctrl-super-alt-m),,,global_customisations.talon
Global,control abbreviation,"insert(""ctrl"")",,,global_customisations.talon
Global,computer sleep confirm," speech.disable() key(super-r) sleep(300ms) insert(""cmd"") sleep(300ms) key(enter) sleep(600ms) #will hibernate the computer! insert(""rundll32.exe powrprof.dll, SetSuspendState Sleep"") sleep(300ms) key(enter)",,,global_customisations.talon
Global,tabby,key(tab),,,global_customisations.talon
Global,fluent search,key(super-ctrl-shift),,,global_customisations.talon
Global,fluent search <user.text>, key(super-ctrl-shift) sleep(300ms) insert(text) sleep(300ms),,,global_customisations.talon
Global,pause some,sleep(500ms),,,global_customisations.talon
Global,select rest of line,key(shift-end),,,global_customisations.talon
Global,base | home,key(home),,,global_customisations.talon
Global,double (base | home), key(home) sleep(100ms) key(home),,,global_customisations.talon
Global,remove last space, key(ctrl-left) sleep(100ms) key(backspace) sleep(100ms) key(end),,,global_customisations.talon
Global,tab backwards,key(shift-tab),,,global_customisations.talon
Global,focus data,"user.switcher_focus(""Azure Data Studio"")",,,global_customisations.talon
Global,focus terminal,"user.switcher_focus(""windowsterminal.exe"")",,,global_customisations.talon
Global,focus code,"user.switcher_focus(""code.exe"")",,,global_customisations.talon
Global,focus studio,"user.switcher_focus(""devenv.exe"")",,,global_customisations.talon
Global,focus edge,"user.switcher_focus(""msedge.exe"")",,,global_customisations.talon
Global,focus chrome,"user.switcher_focus(""chrome.exe"")",,,global_customisations.talon
Global,dictation <user.text>,insert(text),,,global_customisations.talon
Global,click,mouse_click(0),,,global_customisations.talon
Global,move up <number_small>, key(up) repeat(number_small-1),,,global_customisations.talon
Global,go up, key(up),,,global_customisations.talon
Global,go down, key(down),,,global_customisations.talon
Global,go left, key(left),,,global_customisations.talon
Global,go right, key(right),,,global_customisations.talon
Global,[enter] email address,"insert(""MPhillipson0@Gmail.com"")",,,global_customisations.talon
Global,test email,"insert(""firstlastname@domain.co.uk"")",,,global_customisations.talon
Global,[enter] office username,"insert(""Phillipson@MSPSystems.onmicrosoft.com"")",,,global_customisations.talon
Global,[enter] extra email address,"insert(""Mark.S.Phillipson@outlook.com"")",,,global_customisations.talon
Global,[enter] password,"insert(""Blackberry1!"")",,,global_customisations.talon
Global,[enter] username," insert(""MPhil"") sleep(100ms) key(tab)",,,global_customisations.talon
Global,alternate,key(alt),,,global_customisations.talon
Global,fake email, emailAddress = user.fake_email() insert(emailAddress),,,global_customisations.talon
Global,fake phone number, phoneNumber = user.generate_random_number() insert(phoneNumber),,,global_customisations.talon
Global,enter timestamp,"insert(user.time_format(""%Y-%m-%d %H:%M:%S""))",,,global_customisations.talon
Global,select and copy, key(ctrl-a) sleep(100ms) key(ctrl-c) sleep(100ms),,,global_customisations.talon
Global,voice typing, speech.disable() sleep(20ms) key(super-h),,,global_customisations.talon
Global,(voice typing in code) | (draft in code)," user.switcher_focus(""code"") speech.disable() sleep(500ms) key(ctrl-n) sleep(500ms) key(super-h)",,,global_customisations.talon
Global,[enter] my name,"insert(""Mark Phillipson"")",,,global_customisations.talon
Global,[enter] my last name,"insert(""Phillipson"")",,,global_customisations.talon
Global,[enter] army number,"insert(""24593308"")",,,global_customisations.talon
Global,[enter] default Github,"insert(""https://github.com/Mark-Phillipson/BlazorCRUD_UIGenerator"")",,,global_customisations.talon
Global,key(keypad_plus),speech.disable(),,,global_customisations.talon
Global,key(keypad_minus),speech.enable(),,,global_customisations.talon
Global,ziggy <user.text>,#do nothing calling amazon Echo device,,,global_customisations.talon
Global,drowse," #app.notify('I feel drowsy.', 'Talon Now Sleeping', 'DROWSE', true) speech.disable()",,,global_customisations.talon
Global,press alt,key(alt),,,global_customisations.talon
Global,click drowse, speech.disable() mouse_click(0),,,global_customisations.talon
Global,(clipboard search) | (search clipboard),key(ctrl-shift-f12),,,global_customisations.talon
Global,start recording," user.switcher_focus(""obs64.exe"") key(ctrl-super-shift-r) sleep(50ms) app.notify('Running OBS record command', 'Message From Talon Voice', 'TALON', true)",,,global_customisations.talon
Global,stop recording," user.switcher_focus(""obs64.exe"") key(ctrl-super-shift-s) sleep(50ms) app.notify('Running OBS stop record command', 'Message From Talon Voice', 'TALON', true)",,,global_customisations.talon
Global,{user.naughty_words}," app.notify(""That's quite enough of that"", ""More Money for the Sware Jar!"", ""TALON"", true)",,,global_customisations.talon
Global,take line, key(end) sleep(50ms) key(shift-home),,,global_customisations.talon
Global,[focus] development template,key(ctrl-alt-shift-t),,,global_customisations.talon
Global,focus [talon] my stuff,key(ctrl-alt-shift-m),,,global_customisations.talon
Global,focus [talon] community,key(ctrl-alt-shift-y),,,global_customisations.talon
Global,focus Blazor CRUD,key(ctrl-alt-shift-c),,,global_customisations.talon
Global,focus voice admin,key(ctrl-alt-shift-v),,,global_customisations.talon
Global,click and sleep, mouse_click(0) speech.disable(),,,global_customisations.talon
Global,talon relaunch,talon_relaunch(),,,global_customisations.talon
Global,calculate <user.number_string> minus <user.number_string>," value = user.calculate_minus(number_string_1, number_string_2) insert(value)",,,global_customisations.talon
Global,calculate <user.number_string> plus <user.number_string>," value = user.calculate_plus(number_string_1, number_string_2) insert(value)",,,global_customisations.talon
Global,calculate <user.number_string> times <user.number_string>," value = user.calculate_multiply(number_string_1, number_string_2) insert(value)",,,global_customisations.talon
Global,calculate <user.number_string> divided by <user.number_string>," value = user.calculate_divide(number_string_1, number_string_2) insert(value)",,,global_customisations.talon
Global,date insert,"insert(user.time_format(""%d-%m-%Y""))",,,global_customisations.talon
Global,shortcut guide,key(super-shift-/),,,global_customisations.talon
Global,color picker,key(super-shift-c),,,global_customisations.talon
Global,talon menu, key(super-b) sleep(50ms) key(right) sleep(50ms) key(menu) sleep(50ms) key(down:4) sleep(50ms) key(right),,,global_customisations.talon
ms-teams.exe #Organization Version (This will also stop speech recognition when toggling the microphone!),toggle (mute | microphone),key(ctrl-shift-m),,,microsoft_teams.talon
ms-teams.exe #Organization Version (This will also stop speech recognition when toggling the microphone!),share screen,key(ctrl-shift-e),,,microsoft_teams.talon
ms-teams.exe #Organization Version (This will also stop speech recognition when toggling the microphone!),leave meeting confirm,key(ctrl-shift-h),,,microsoft_teams.talon
Global,enter random numbers, number = user.generate_random_number() insert(number) sleep(100ms) key(tab),,,random_number.talon
microsoft_edge,^(stop realtime)+$, speech.enable() sleep(100ms) key(alt-m),,,realtime.talon
microsoft_edge,^(stop realtime and copy)+$, speech.enable() sleep(100ms) key(alt-m) sleep(100ms) key(alt-t) sleep(100ms) key(ctrl-a) sleep(100ms) key(ctrl-c),,,realtime.talon
microsoft_edge,^(stop realtime and paste)+$, speech.enable() sleep(100ms) key(alt-m) sleep(100ms) key(alt-t) sleep(100ms) key(ctrl-a) key(ctrl-c) sleep(100ms) key(alt-tab) sleep(100ms) key(ctrl-v),,,realtime.talon
microsoft_edge,^(realtime copy)+$, key(alt-t) sleep(100ms) key(ctrl-a) sleep(100ms) key(ctrl-c),,,realtime.talon
Global,settings(), #user.model_temperature = 0.6,,,settings_custom.talon
Global,"#user.model_endpoint = ""https","//api.openai.com/v1/chat/completions""",,,settings_custom.talon
Global,"# NOTE, you may not have access to GPT-4 yet",https://help.openai.com/en/articles/7102672-how-can-i-access-gpt-4 user.openai_model = 'gpt-4o-mini' #user.openai_model = 'gpt-3.5-turbo',,,settings_custom.talon
Global,# tag(),user.gpt_beta,,,settings_custom.talon
sleep,settings(), # Stop continuous scroll/gaze scroll with a pop user.mouse_enable_pop_stops_scroll = false # Stop pop click with 'control mouse' mode user.mouse_enable_pop_click = 0 # Stop mouse scroll down using hiss noise user.mouse_enable_hiss_scroll = false,,,sleep_mode.talon
sleep,^(stop voice [typing])+$," key(super-h) sleep(100ms) key(escape) speech.enable() #key(""ctrl-shift-left"")",,,sleep_mode.talon
sleep,^(full stop)+$, key(super-h) sleep(100ms) speech.enable(),,,sleep_mode.talon
sleep,^(release)+$," user.run_application_csharp_database_command(""Release Control"") speech.enable() key(""ctrl-shift-left"") key(""ctrl-shift-left"")",,,sleep_mode.talon
Global,settings(), # Echo the subtitles from talon back via tts user.echo_dictation = false,,,tts_settings.talon
vscode,pilot voice," user.vscode(""workbench.action.chat.startVoiceChat"")",,,visual_studio_code_sleeping.talon
Global,app.exe,msaccess.exe,,,apps\access.talon
Global,datasheet view, key(alt-h) sleep(100ms) key(w) sleep(100ms) key(h),,,apps\access.talon
Global,design view, key(alt-h) sleep(100ms) key(w) sleep(100ms) key(d),,,apps\access.talon
Global,step into, key(f8),,,apps\access.talon
Global,step over, key(shift-f8),,,apps\access.talon
Global,step out, key(ctrl-shift-f8),,,apps\access.talon
Global,run to cursor, key(ctrl-f8),,,apps\access.talon
Global,toggle breakpoint, key(f9),,,apps\access.talon
Global,[toggle] breakpoint,key(f9),,,apps\access.talon
Global,clear all breakpoints, key(ctrl-shift-f9),,,apps\access.talon
Global,reset, key(ctrl-break),,,apps\access.talon
Global,compile, key(alt-d) sleep(100ms) key(c),,,apps\access.talon
Global,immediate window,key(ctrl-g),,,apps\access.talon
Global,reset code, key(alt-d) sleep(100ms) key(right) sleep(100ms) key(r),,,apps\access.talon
Global,os,windows,,,apps\azure_data_studio.talon
Azure Data Studio,expand selection,key(shift-alt-right),,,apps\azure_data_studio.talon
Azure Data Studio,execute query,key(f5),,,apps\azure_data_studio.talon
Azure Data Studio,toggle results, key(ctrl-shift-r) sleep(100ms) key(ctrl-shift-r),,,apps\azure_data_studio.talon
Azure Data Studio,go to definition,key(f12),,,apps\azure_data_studio.talon
Azure Data Studio,close tab,key(ctrl-w),,,apps\azure_data_studio.talon
Azure Data Studio,find following <user.text>, key(ctrl-f) sleep(100ms) insert(text) key(enter) key(escape),,,apps\azure_data_studio.talon
Azure Data Studio,go to line,key(ctrl-g),,,apps\azure_data_studio.talon
Azure Data Studio,toggle sidebar,key(ctrl-b),,,apps\azure_data_studio.talon
Azure Data Studio,focus server,"user.vscode(""dataExplorer.servers.focus"")",,,apps\azure_data_studio.talon
Azure Data Studio,new connection,"user.vscode(""registeredServers.addConnection"")",,,apps\azure_data_studio.talon
Azure Data Studio,open connections,"user.vscode(""registeredServers.addConnection"")",,,apps\azure_data_studio.talon
msedge.exe,title,/chatgpt|chat gpt/i,,,apps\chat_gpt_shortcuts.talon
msedge.exe,new chat, key(ctrl-shift-o),,,apps\chat_gpt_shortcuts.talon
msedge.exe,focus input, key(shift-esc),,,apps\chat_gpt_shortcuts.talon
msedge.exe,copy code block, key(ctrl-shift-;),,,apps\chat_gpt_shortcuts.talon
msedge.exe,copy response, key(ctrl-shift-c),,,apps\chat_gpt_shortcuts.talon
msedge.exe,set instructions, key(ctrl-shift-i),,,apps\chat_gpt_shortcuts.talon
msedge.exe,toggle sidebar, key(ctrl-shift-s),,,apps\chat_gpt_shortcuts.talon
msedge.exe,delete chat, key(ctrl-shift-backspace),,,apps\chat_gpt_shortcuts.talon
msedge.exe,ask it | basket," insert(""?"") sleep(""20ms"") key(enter)",,,apps\chat_gpt_shortcuts.talon
Global,show my message," user.hud_publish_content(""\n Mixed <*Mode/> Is: <+Great/>"", ""my_message"", ""Talon Voice Modes"")",,,apps\custom_message.talon
Global,hide my message," user.hud_publish_content("""", ""my_message"", """")",,,apps\custom_message.talon
browser,and not tag,user.rango_disabled,,,apps\custom_rango.talon
browser,tag(),user.rango_direct_clicking,,,apps\custom_rango.talon
browser,rango (toggle | switch),user.rango_toggle_hints(),,,apps\custom_rango.talon
vscode,os,windows,,,apps\custom_visual_studio_code.talon
vscode,switch tab,"user.vscode(""workbench.action.switchWindow"")",,,apps\custom_visual_studio_code.talon
vscode,terminal tab,"user.vscode(""workbench.action.terminal.focus"")",,,apps\custom_visual_studio_code.talon
vscode,single tab,"user.vscode(""workbench.action.showEditorTab"")",,,apps\custom_visual_studio_code.talon
vscode,multi tabs,"user.vscode(""workbench.action.showMultipleEditorTabs"")",,,apps\custom_visual_studio_code.talon
vscode,solution explorer,"user.vscode(""solutionExplorer.focus"")",,,apps\custom_visual_studio_code.talon
vscode,symbols,"user.vscode(""workbench.action.showAllSymbols"")",,,apps\custom_visual_studio_code.talon
vscode,[go to] definition,"user.vscode(""editor.action.revealDefinition"")",,,apps\custom_visual_studio_code.talon
vscode,[focus] problems,"user.vscode(""workbench.panel.markers.view.focus"")",,,apps\custom_visual_studio_code.talon
vscode,maximize (panel | pane),"user.vscode(""workbench.action.toggleMaximizedPanel"")",,,apps\custom_visual_studio_code.talon
vscode,(terminal focus) | (focus terminal),"user.vscode(""workbench.action.terminal.focus"")",,,apps\custom_visual_studio_code.talon
vscode,terminal build," user.vscode(""workbench.action.terminal.focus"") sleep(100ms) insert(""dotnet build"") sleep(100ms) key(enter)",,,apps\custom_visual_studio_code.talon
vscode,terminal run," user.vscode(""workbench.action.terminal.focus"") sleep(100ms) insert(""dotnet run"") sleep(100ms) key(enter)",,,apps\custom_visual_studio_code.talon
vscode,terminal watch," user.vscode(""workbench.action.terminal.focus"") sleep(100ms) insert(""dotnet watch run"") sleep(100ms) key(enter)",,,apps\custom_visual_studio_code.talon
vscode,local host Marvin,"user.open_url(""http://localhost:5016"")",,,apps\custom_visual_studio_code.talon
vscode,drop marker,"user.vscode(""selectionssaver.saveBookmark"")",,,apps\custom_visual_studio_code.talon
vscode,collect marker,"user.vscode(""selectionssaver.restoreBookmark"")",,,apps\custom_visual_studio_code.talon
vscode,save swap marker,"user.vscode(""selectionssaver.saveSelectionToSwapSlot"")",,,apps\custom_visual_studio_code.talon
vscode,swap marker,"user.vscode(""selectionssaver.swapWithSwapSlot"")",,,apps\custom_visual_studio_code.talon
vscode,focus search,"user.vscode(""workbench.view.search"")",,,apps\custom_visual_studio_code.talon
vscode,focus extensions,"user.vscode(""workbench.view.extensions"")",,,apps\custom_visual_studio_code.talon
vscode,focus explorer,"user.vscode(""workbench.view.explorer"")",,,apps\custom_visual_studio_code.talon
vscode,focus debug,"user.vscode(""workbench.view.debug"")",,,apps\custom_visual_studio_code.talon
vscode,[focus] source control,"user.vscode(""workbench.view.scm"")",,,apps\custom_visual_studio_code.talon
vscode,[focus] commit message,"user.vscode(""workbench.scm.action.focusNextInput"")",,,apps\custom_visual_studio_code.talon
vscode,next issue,"user.vscode(""editor.action.marker.next"")",,,apps\custom_visual_studio_code.talon
vscode,previous issue,"user.vscode(""editor.action.marker.prev"")",,,apps\custom_visual_studio_code.talon
vscode,(focus) | (view) Controller,"user.vscode(""extension.goToController"")",,,apps\custom_visual_studio_code.talon
vscode,go to view,"user.vscode(""extension.goToView"")",,,apps\custom_visual_studio_code.talon
vscode,(view code) | (code behind),"user.vscode(""extension.goToCodeBehind"")",,,apps\custom_visual_studio_code.talon
vscode,[view] component,"user.vscode(""extension.goToBlazorComponent"")",,,apps\custom_visual_studio_code.talon
vscode,Go to next bookmark,"user.vscode(""editor.action.goToNextBookmark"")",,,apps\custom_visual_studio_code.talon
vscode,open smart tag,"user.vscode(""editor.action.quickFix"")",,,apps\custom_visual_studio_code.talon
vscode,last edit,"user.vscode(""workbench.action.navigateToLastEditLocation"")",,,apps\custom_visual_studio_code.talon
vscode,previous edit,"user.vscode(""workbench.action.navigateBackInEditLocations"")",,,apps\custom_visual_studio_code.talon
vscode,next edit,"user.vscode(""workbench.action.navigateForwardInEditLocations"")",,,apps\custom_visual_studio_code.talon
vscode,(show code places) | symbol,"user.vscode(""workbench.action.gotoSymbol"")",,,apps\custom_visual_studio_code.talon
vscode,move line down,"user.vscode(""editor.action.moveLinesDownAction"")",,,apps\custom_visual_studio_code.talon
vscode,move line up,"user.vscode(""editor.action.moveLinesUpAction"")",,,apps\custom_visual_studio_code.talon
vscode,view problem,"user.vscode(""editor.action.marker.next"")",,,apps\custom_visual_studio_code.talon
vscode,bar connections,"user.vscode(""dataExplorer.servers.focus"")",,,apps\custom_visual_studio_code.talon
vscode,bar notebooks,"user.vscode(""workbench.view.notebooks"")",,,apps\custom_visual_studio_code.talon
vscode,go method,"user.vscode(""semantic-movement.jumpToContainingFunction"")",,,apps\custom_visual_studio_code.talon
vscode,last position,"user.vscode(""workbench.action.navigateBack"")",,,apps\custom_visual_studio_code.talon
vscode,breadcrumbs focus,"user.vscode(""breadcrumbs.focus"")",,,apps\custom_visual_studio_code.talon
vscode,show code lens,"user.vscode(""codelens.showLensesInCurrentLine"")",,,apps\custom_visual_studio_code.talon
vscode,keyboard shortcuts,"user.vscode(""workbench.action.openGlobalKeybindings"")",,,apps\custom_visual_studio_code.talon
vscode,focus editors,"user.vscode(""workbench.files.action.focusOpenEditorsView"")",,,apps\custom_visual_studio_code.talon
vscode,select matching all,"user.vscode(""editor.action.selectHighlights"")",,,apps\custom_visual_studio_code.talon
vscode,select matching <user.number_signed_small>," user.vscode(""editor.action.addSelectionToNextFindMatch"") repeat(number_signed_small-1)",,,apps\custom_visual_studio_code.talon
vscode,select matching next,"user.vscode(""editor.action.addSelectionToNextFindMatch"")",,,apps\custom_visual_studio_code.talon
vscode,select matching previous,"user.vscode(""editor.action.addSelectionToPreviousFindMatch"")",,,apps\custom_visual_studio_code.talon
vscode,collapse folders,"user.vscode(""workbench.files.action.collapseExplorerFolders"")",,,apps\custom_visual_studio_code.talon
vscode,(search files [by name]) | (navigate [to])," user.vscode(""workbench.action.quickOpen"")",,,apps\custom_visual_studio_code.talon
vscode,(hunt | search | find) this,edit.find(),,,apps\custom_visual_studio_code.talon
vscode,search files <user.cursorless_target>," value = user.cursorless_get_text(cursorless_target, true) user.vscode(""workbench.action.quickOpen"") insert(value)",,,apps\custom_visual_studio_code.talon
vscode,search files [<user.text>]," user.vscode(""workbench.action.quickOpen"") insert(text)",,,apps\custom_visual_studio_code.talon
vscode,open folder,"user.vscode(""workbench.action.files.openFolder"")",,,apps\custom_visual_studio_code.talon
vscode,file save as,"user.vscode(""workbench.action.files.saveAs"")",,,apps\custom_visual_studio_code.talon
vscode,file save all,"user.vscode(""workbench.action.files.saveAll"")",,,apps\custom_visual_studio_code.talon
vscode,focus open [files | tab],"user.vscode(""workbench.files.action.focusOpenEditorsView"")",,,apps\custom_visual_studio_code.talon
vscode,close others,"user.vscode(""workbench.action.closeOtherEditors"")",,,apps\custom_visual_studio_code.talon
vscode,rename [file],key(f2),,,apps\custom_visual_studio_code.talon
vscode,new file here,"user.vscode(""fileutils.newFile"")",,,apps\custom_visual_studio_code.talon
vscode,new folder,"user.vscode(""explorer.newFolder"")",,,apps\custom_visual_studio_code.talon
vscode,switch files,"user.vscode(""workbench.action.quickOpenPreviousRecentlyUsedEditor"")",,,apps\custom_visual_studio_code.talon
vscode,new file," #user.vscode(""csdevkit.addNewFile"") key(menu) sleep(100ms) key(down)",,,apps\custom_visual_studio_code.talon
vscode,please dotnet," key(f1) sleep(300ms) insert("".NET"") sleep(100ms) key(enter)",,,apps\custom_visual_studio_code.talon
vscode,go [command] palette, key(ctrl-shift-p),,,apps\custom_visual_studio_code.talon
vscode,palate | palette,key(ctrl-shift-p),,,apps\custom_visual_studio_code.talon
vscode,open recent,"user.vscode(""workbench.action.openRecent"")",,,apps\custom_visual_studio_code.talon
vscode,format code,"user.vscode(""editor.action.formatDocument"")",,,apps\custom_visual_studio_code.talon
vscode,expand selection,"user.vscode(""editor.action.smartSelect.expand"")",,,apps\custom_visual_studio_code.talon
vscode,shrink selection,"user.vscode(""editor.action.smartSelect.shrink"")",,,apps\custom_visual_studio_code.talon
vscode,comment line,"user.vscode(""editor.action.commentLine"")",,,apps\custom_visual_studio_code.talon
vscode,parameter info,"user.vscode(""editor.action.triggerParameterHints"")",,,apps\custom_visual_studio_code.talon
vscode,symbol rename,"user.vscode(""editor.action.rename"")",,,apps\custom_visual_studio_code.talon
vscode,drop anchor,"user.vscode(""editor.action.setSelectionAnchor"")",,,apps\custom_visual_studio_code.talon
vscode,collect anchor,"user.vscode(""editor.action.goToSelectionAnchor"")",,,apps\custom_visual_studio_code.talon
vscode,select from anchor,"user.vscode(""editor.action.selectFromAnchorToCursor"")",,,apps\custom_visual_studio_code.talon
vscode,open accessible view,"user.vscode(""editor.action.accessibleView"")",,,apps\custom_visual_studio_code.talon
vscode,previous tab,"user.vscode(""workbench.action.previousEditor"")",,,apps\custom_visual_studio_code.talon
vscode,next tab,"user.vscode(""workbench.action.nextEditor"")",,,apps\custom_visual_studio_code.talon
vscode,(closed tab | close tab),"user.vscode(""workbench.action.closeActiveEditor"")",,,apps\custom_visual_studio_code.talon
vscode,maximize editor," key(f1) sleep(100ms) insert(""View: Toggle Primary Sidebar Visibility"") key(enter)",,,apps\custom_visual_studio_code.talon
vscode,sidebar shrink,"user.vscode(""workbench.action.increaseViewWidth"")",,,apps\custom_visual_studio_code.talon
vscode,sidebar grow,"user.vscode(""workbench.action.decreaseViewWidth"")",,,apps\custom_visual_studio_code.talon
vscode,split grow,"user.vscode(""workbench.action.increaseViewSize"")",,,apps\custom_visual_studio_code.talon
vscode,split shrink,"user.vscode(""workbench.action.decreaseViewSize"")",,,apps\custom_visual_studio_code.talon
vscode,zoom in small, key(ctrl:down) user.mouse_scroll_up() key(ctrl:up),,,apps\custom_visual_studio_code.talon
vscode,zoom out small, key(ctrl:down) user.mouse_scroll_down() key(ctrl:up),,,apps\custom_visual_studio_code.talon
vscode,toggle secondary,"user.vscode(""workbench.action.closeAuxiliaryBar"")",,,apps\custom_visual_studio_code.talon
vscode,put <user.cursorless_target>," value = user.cursorless_get_text(cursorless_target, true) insert(value)",,,apps\custom_visual_studio_code.talon
vscode,toggle hats,"user.vscode(""cursorless.toggleDecorations"")",,,apps\custom_visual_studio_code.talon
vscode,<user.formatters> {user.cursorless_reformat_action} <user.cursorless_target>," user.private_cursorless_reformat(cursorless_target, formatters)",,,apps\custom_visual_studio_code.talon
vscode,{user.search_engine} scout <user.cursorless_target>," text = user.cursorless_get_text(cursorless_target) user.search_with_search_engine(search_engine, text)",,,apps\custom_visual_studio_code.talon
vscode,debug application,"user.vscode(""workbench.action.debug.start"")",,,apps\custom_visual_studio_code.talon
vscode,start application,"user.vscode(""workbench.action.debug.run"")",,,apps\custom_visual_studio_code.talon
vscode,stop application,"user.vscode(""workbench.action.debug.stop"")",,,apps\custom_visual_studio_code.talon
vscode,step into,"user.vscode(""workbench.action.debug.stepInto"")",,,apps\custom_visual_studio_code.talon
vscode,step out,"user.vscode(""workbench.action.debug.stepOut"")",,,apps\custom_visual_studio_code.talon
vscode,continue,"user.vscode(""workbench.action.debug.continue"")",,,apps\custom_visual_studio_code.talon
vscode,restart (debugging),"user.vscode(""workbench.action.debug.restart"")",,,apps\custom_visual_studio_code.talon
vscode,toggle breakpoint,"user.vscode(""editor.debug.action.toggleBreakpoint"")",,,apps\custom_visual_studio_code.talon
vscode,bar debug,"user.vscode(""workbench.view.debug"")",,,apps\custom_visual_studio_code.talon
vscode,open talon log," user.vscode(""workbench.action.files.openFile"") sleep(400ms) insert(""C:\\Users\\MPhil\\AppData\\Roaming\\talon\\talon.log"") sleep(100ms) key(enter)",,,apps\custom_visual_studio_code.talon
vscode,reset code,"user.vscode(""workbench.action.debug.stop"")",,,apps\custom_visual_studio_code.talon
